video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S,channel_name
Chocolate buttercream recipe,2021-12-13 19:38:20+00:00,30,6.0,8,2024-08-21 23:43:05.214178+00:00,0,1,55,ookwithFunmi
Simple and Moist Chocolate Cake,2021-11-28 18:07:12+00:00,31,5.0,7,2024-08-21 23:43:05.957042+00:00,0,1,20,ookwithFunmi
simple and easy banana bread recipe,2021-11-20 18:46:05+00:00,24,7.0,14,2024-08-21 23:43:06.716712+00:00,0,2,30,ookwithFunmi
"GET TO KNOW ME TAG 2// food,marriage,friendship etc",2021-11-06 18:03:19+00:00,64,17.0,15,2024-08-21 23:43:07.432445+00:00,0,10,53,ookwithFunmi
simple peanut burger recipe// perfectly coated,2021-11-01 19:47:51+00:00,29,8.0,8,2024-08-21 23:43:08.197290+00:00,0,2,19,ookwithFunmi
homemade banana milkshake recipe/ simple,2021-10-23 18:00:04+00:00,35,10.0,8,2024-08-21 23:43:09.048877+00:00,0,1,3,ookwithFunmi
ofada sauce recipe/ ayamase recipe,2021-10-17 18:41:40+00:00,64,12.0,17,2024-08-21 23:43:09.812748+00:00,0,1,36,ookwithFunmi
!! before you buy your next CHAPMAN// non-alcoholic,2021-10-09 18:00:28+00:00,53,8.0,7,2024-08-21 23:43:10.520774+00:00,0,1,12,ookwithFunmi
how to make healthy carrot and ginger juice|| for glowing skin,2021-10-02 17:25:39+00:00,20,8.0,8,2024-08-21 23:43:11.305624+00:00,0,1,5,ookwithFunmi
simple mini sausage buns recipe || quick snack,2021-09-25 18:00:08+00:00,42,17.0,14,2024-08-21 23:43:11.994963+00:00,0,2,1,ookwithFunmi
Easy Carrot Pancakes Recipe,2021-09-18 18:00:12+00:00,74,10.0,7,2024-08-21 23:43:12.758601+00:00,0,2,12,ookwithFunmi
CHANNEL TRAILER | Cook with Funmi,2021-09-13 12:36:50+00:00,94,11.0,12,2024-08-21 23:43:13.521288+00:00,0,0,50,ookwithFunmi
spaghetti and sausage recipe 2021,2021-01-25 02:46:29+00:00,99,16.0,5,2024-08-21 23:43:14.193368+00:00,0,1,43,ookwithFunmi
EASY SPICY PLANTAIN CHIPS RECIPE,2021-01-10 21:57:47+00:00,729,21.0,13,2024-08-21 23:43:14.922254+00:00,0,2,17,ookwithFunmi
Extra CRISPY Suya Spice Tofu - No Frying!,2024-08-18 16:34:12+00:00,53,10.0,1,2024-08-21 23:28:34.652835+00:00,0,3,39,CosyFoodie
High Protein Lentil Bolognese | My New Kitchen + Naked Wines!,2024-08-11 16:53:52+00:00,73,13.0,1,2024-08-21 23:28:35.553427+00:00,0,6,55,CosyFoodie
1-Ingredient Black Bean Flatbread | Gluten Free Recipe,2024-08-04 16:30:00+00:00,2182,126.0,8,2024-08-21 23:28:36.523719+00:00,0,2,7,CosyFoodie
Incredible Chocolate Chip Cookies in 10 Mins | vegan + easy recipe,2024-07-28 21:00:24+00:00,113,7.0,0,2024-08-21 23:28:37.566177+00:00,0,2,30,CosyFoodie
"1 Minute Coffee Cake with Whipped Cream | Soft, Eggless, Dairy-Free Recipe",2024-07-21 16:30:07+00:00,274,23.0,3,2024-08-21 23:28:39.501182+00:00,0,3,9,CosyFoodie
"Dreamy Coconut Cake | No Egg, No Butter, One Bowl",2024-07-14 16:30:02+00:00,3812,49.0,3,2024-08-21 23:28:41.492854+00:00,0,2,26,CosyFoodie
