video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
6 Delicious Recipes You Can Make Using TIGER NUTS! - Zeelicious Foods,2023-10-14 14:06:13+00:00,28149,915,58,2024-08-24 07:42:18.902385+00:00,0,11,52
Meal Prep with Me - One Week of Eating Healthy Recipes for Weight-Loss - Zeelicious Foods,2023-10-07 12:30:22+00:00,17693,657,54,2024-08-24 07:42:19.291527+00:00,0,25,16
The Number One Reason You Aren't Losing Any Weight- STOP EATING LIKE THIS!❌ - Someone Had to Say IT!,2023-09-30 12:00:49+00:00,10118,522,46,2024-08-24 07:42:19.684334+00:00,0,13,14
This is How I Make a ‘Healthy’ Pot of Nigerian Stew #nigerianfoods #healthy #zeeliciousfoods,2023-09-26 17:42:18+00:00,49510,873,28,2024-08-24 07:42:20.181808+00:00,0,1,44
4 Tasty Treats/Snacks Using the Best Greek Yogurt in Nigeria 🇳🇬- Zeelicious Foods,2023-09-16 12:30:26+00:00,6692,280,19,2024-08-24 07:42:20.584681+00:00,0,5,17
My One Pot Chicken & Rice Recipe - Perfect For Sunday Lunch!😋 #Rice #ZeeliciousFoods,2023-09-10 12:10:00+00:00,11064,360,15,2024-08-24 07:42:21.050310+00:00,0,1,26
Overnight Oat (5 Ways) - Elevate Your Breakfast with These Oat Recipes - Zeelicious Foods,2023-09-09 12:00:41+00:00,6506,299,22,2024-08-24 07:42:21.469220+00:00,0,5,36
10 Practical Things I Do to SUSTAINABLY Maintain a Healthy Weight💪🏽 - Zeelicious Food,2023-09-02 13:54:40+00:00,8222,370,32,2024-08-24 07:42:21.872547+00:00,0,19,41
4 Creamy & Nutritious Smoothies Without Bananas 🍌- ZEELICIOUS FOODS,2023-08-26 12:00:00+00:00,9904,452,25,2024-08-24 07:42:22.297666+00:00,0,6,5
TWO yummy & healthy PARFAIT RECIPES  that will satisfy your taste buds 😋- Zeelicious Foods,2023-08-19 13:00:31+00:00,13990,491,27,2024-08-24 07:42:22.695224+00:00,0,6,6
This is Not Your Regular Moi-Moi Recipe - Zeelicious Foods,2023-08-16 13:30:56+00:00,13175,423,23,2024-08-24 07:42:23.168713+00:00,0,5,6
"A Scrambled Eggs Recipe with an AMAZING TWIST, Easy & Delicious Recipe - Zeelicious Foods",2023-08-09 13:00:21+00:00,6672,277,15,2024-08-24 07:42:23.585576+00:00,0,4,4
This Sauce Pairs Well with Everything - Very Affordable & Delicious - Zeelicious Foods,2023-08-05 13:00:07+00:00,8769,286,20,2024-08-24 07:42:24.002723+00:00,0,5,32
My Famous 7-Ingredient Healthy Banana Cake/Bread- Perfect For Breakfast and a Snack-ZEELICIOUS FOODS,2023-08-02 13:54:00+00:00,7152,258,14,2024-08-24 07:42:24.427466+00:00,0,2,59
