video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
MAMA HOZANA SHARES HER EDIKAIKONG RECIPE | MARKET SERIES | EDIKAIKONG SOUP,2024-07-08 18:23:14+00:00,42392,979,184,2024-08-24 07:46:11.521854+00:00,0,19,36
PARTY STEW HAS A SECRET TECHNIQUE. WATCH THIS! | DIARYOFAKITCHENLOVER,2024-07-05 18:08:51+00:00,27514,851,99,2024-08-24 07:46:11.907638+00:00,0,6,24
VERY FUNNY BTS WITH MAMA DEOLA AND CHEF T | DIARYOFAKITCHENLOVER,2024-07-03 08:06:25+00:00,18328,715,71,2024-08-24 07:46:12.324337+00:00,0,21,54
500K WILL BUILD YOU YOUR DREAM KITCHEN! | KITCHEN ON A BUDGET | DIARYOFAKITCHENLOVER,2024-06-28 19:26:05+00:00,10990,625,59,2024-08-24 07:46:12.742345+00:00,0,14,46
COOK BEANS PORRIDGE LIKE A PRO! | BEANS RECIPE | DIARYOFAKITCHENLOVER,2024-06-25 19:06:58+00:00,11255,449,72,2024-08-24 07:46:13.209250+00:00,0,9,9
SIMPLE GOAT CURRY SAUCE! THE EASIEST RECIPE | DIARYOFAKITCHENLOVER #recipe,2024-06-23 11:06:57+00:00,3792,268,41,2024-08-24 07:46:13.721399+00:00,0,5,47
I COOKED PEPPERSOUP CONCOCTION RICE WITH ASHER | GOODNESS KITCHEN WITH CHEF T,2024-06-18 07:34:48+00:00,229401,189,4,2024-08-24 07:46:15.137389+00:00,0,0,55
THE BEST ASUN RICE RECIPE | GOATMEAT RICE RECIPE | DIARYOFAKITCHENLOVER #cookingvideo #cooking,2024-06-17 13:24:54+00:00,5483,341,60,2024-08-24 07:46:15.568467+00:00,0,5,13
VERY SIMPLIFIED EWA AGOYIN AND AGOYIN SAUCE RECIPE | AGOYIN BEANS AND STEW | DIARYOFAKITCHENLOVER,2024-06-14 15:58:19+00:00,89325,2465,467,2024-08-24 07:46:15.990993+00:00,0,6,4
DON’T DO THESE IN YOUR KITCHEN 🛑 | BEST KITCHEN HYGIENE TIPS | DIARYOFAKITCHENLOVER,2024-06-12 08:00:47+00:00,2480,178,10,2024-08-24 07:46:16.406427+00:00,0,6,20
HOW TO COOK JASMINE RICE THE EASIEST WAY | EGG STIR FRIED RICE | DIARYOFAKITCHENLOVER #recipes,2024-06-10 06:23:04+00:00,5795,329,79,2024-08-24 07:46:16.874749+00:00,0,6,31
SIMPLE YAMARITA AND EGG SAUCE FROM THE SCRATCH | YAMARITA | FRIED EGGS | DIARYOFAKITCHENLOVER,2024-06-08 08:48:32+00:00,13022,710,212,2024-08-24 07:46:17.288583+00:00,0,8,51
DIFFERENT COOKING METHODS I BET YOU DIDNT KNOW ABOUT | COOKING METHODS | DIARYOFAKITCHENLOVER,2024-06-07 06:43:04+00:00,1969,153,14,2024-08-24 07:46:17.680366+00:00,0,2,35
STIR FRIED NOODLES COOKED THE BEST WAY | DIARYOFAKITCHENLOVER | NOODLES RECIPE,2024-06-03 19:47:09+00:00,9450,547,74,2024-08-24 07:46:18.068692+00:00,0,3,54
DO YOU EAT INU ERAN? (OFALS)? SEE HOW I COOKED THIS! YOU’LL LOVE IT! | DIARYOFAKITCHENLOVER #cooking,2024-05-29 13:39:49+00:00,4061,273,49,2024-08-24 07:46:18.500427+00:00,0,5,1
MALTA CREAMY PASTA WITH AND MALTA PINACOLADA | EXCLUSIVE EPISODE OF GOODNESS KITCHEN WITH CHEF T!,2024-05-19 08:42:20+00:00,2366,128,7,2024-08-24 07:46:18.902345+00:00,0,21,10
MAMA DEOLA AND CHEF T. VERY FUNNY BEHIND THE SCENES | DIARYOFAKITCHENLOVER,2024-05-18 07:42:55+00:00,20080,991,76,2024-08-24 07:46:19.317550+00:00,0,17,12
VERY EASY HOME MADE ASUN (ROASTED GOAT MEAT) | DIARYOFAKITCHENLOVER,2024-05-16 18:41:42+00:00,6507,352,14,2024-08-24 07:46:19.717549+00:00,0,5,24
OFE NSALA | GOODNESS KITCHEN WITH CHEF T | MALTA GUINNESS,2024-05-13 11:21:38+00:00,846961,19955,4,2024-08-24 07:46:20.131662+00:00,0,0,56
SHREDDED BEEF SAUCE AND MALT MOCKTAIL | GOODNESS KITCHEN WITH CHEF T | MALTA GUINNESS,2024-05-13 11:21:33+00:00,902430,391,2,2024-08-24 07:46:20.561276+00:00,0,0,42
CRISPY CHICKEN AND CREPES | GOODNESS KITCHEN WITH CHEF T | MALTA GUINNESS,2024-05-13 11:21:29+00:00,1241,60,4,2024-08-24 07:46:20.963327+00:00,0,0,59
HOW TO MAKE OKAZI SOUP | EASTERN NIGERIA SOUPS | DIARYOFAKITCHENLOVER,2024-05-07 08:04:34+00:00,2740,118,8,2024-08-24 07:46:21.377427+00:00,0,1,27
MAKE GRILLED FISH AND ROASTED PLANTAIN WITH ME | DIARYOFAKITCHENLOVER | ASMR,2024-05-07 08:00:08+00:00,9598,140,7,2024-08-24 07:46:21.822161+00:00,0,1,31
BAKE MY DAUGHTER’S 6 MONTHS OLD CAKE WITH ME | RED VELVET CAKE | VANILLA CAKE | CAKE DECORATION,2024-05-02 19:01:28+00:00,49358,1375,63,2024-08-24 07:46:22.269265+00:00,0,3,17
HOW WE SHARED OUR FREE FOOD BOXES | DIARYOFAKITCHENLOVER,2024-04-29 10:10:53+00:00,4369,165,14,2024-08-24 07:46:22.716273+00:00,0,1,31
Grilled MackerelFish & Bole(Roasted Plantain) | Goodness Kitchen with Chef T | Malta Guinness,2024-04-29 10:10:41+00:00,863,49,2,2024-08-24 07:46:23.154412+00:00,0,1,1
MAMA DEOLA THE DISPATCH RIDER STOLE CHEF T’S FOOD,2024-04-27 11:22:17+00:00,5346,206,26,2024-08-24 07:46:23.563448+00:00,0,4,23
"SPICES, HERBS, AND CONDIMENTS. WHAT ARE THE DIFFERENCES? | DIARYOFAKITCHENLOVER",2024-04-26 06:29:59+00:00,2183,156,13,2024-08-24 07:46:23.994190+00:00,0,4,17
"BAKING POWDER, BAKING SODA AND YEAST. ARE THEY THE SAME THING? HOW TO USE THEM |DIARYOFAKITCHENLOVER",2024-04-22 10:44:44+00:00,3040,184,18,2024-08-24 07:46:24.481338+00:00,0,2,58
DON’T STORE THESE IN THE FREEZER 🛑 | DONT WASTE YOUR FOOD | DIARYOFAKITCHENLOVER,2024-04-19 16:29:35+00:00,6384,244,29,2024-08-24 07:46:24.943512+00:00,0,2,16
CHEF T GETS MAMA DEOLA INTO TROUBLE AT A FANCY RESTAURANT,2024-04-16 21:25:51+00:00,22150,700,81,2024-08-24 07:46:25.397894+00:00,0,6,44
MAMA DEOLA AND CHEF T VISITS THE SEAFOOD MARKET | VERY CHAOTIC | DIARYOFAKITCHENLOVER,2024-04-13 04:16:22+00:00,5898,221,28,2024-08-24 07:46:25.898167+00:00,0,3,16
STALE OILS ARE VERY HARMFUL FOR YOU! | HOW TO TRASH STALE OILS| DIARYOFAKITCHENLOVER,2024-03-29 11:54:39+00:00,2024,116,10,2024-08-24 07:46:26.433383+00:00,0,1,56
EJA SHARWA STEW AND VEGETABLE RICE | RAMADAN RECIPES | DIARYOFAKITCHENLOVER,2024-03-27 03:54:19+00:00,3043,137,4,2024-08-24 07:46:27.059307+00:00,0,1,11
RAMADAN RECIPES | GROUNDNUT SOUP AND POUNDED YAM | DIARYOFAKITCHENLOVER,2024-03-27 03:33:59+00:00,2575,103,9,2024-08-24 07:46:27.555495+00:00,0,1,30
LOCAL JOLLOF SPAGHETTI | RAMADAN RECIPES | DIARYOFAKITCHENLOVER,2024-03-24 11:25:02+00:00,13259,578,15,2024-08-24 07:46:28.070431+00:00,0,1,11
RAMADAN RECIPES | JAMBALAYA RICE ASMR | DIARYOFAKITCHENLOVER,2024-03-18 15:58:04+00:00,3689,161,8,2024-08-24 07:46:28.617345+00:00,0,1,16
RAMADAN RECIPES | GRILLED FISH AND SWEET POTATOES,2024-03-15 15:18:41+00:00,3143,184,11,2024-08-24 07:46:29.160136+00:00,0,1,27
RAMADAN RECIPES | YAM PORRIDGE HACK! | DIARYOFAKITCHENLOVER,2024-03-14 15:11:55+00:00,3270,183,13,2024-08-24 07:46:29.714479+00:00,0,1,20
RAMADAN RECIPES | LOW BUDGET EGUSI SOUP | DIARYOFAKITCHENLOVER #ramadanrecipe,2024-03-13 15:52:04+00:00,5601,209,13,2024-08-24 07:46:30.289090+00:00,0,1,28
STOP WASTING YOUR MORNING FRESH!,2024-03-13 11:37:02+00:00,1296,96,10,2024-08-24 07:46:30.839270+00:00,0,1,43
RAMADAN RECIPES | SILKY BEANS AND CORN | DIARYOFAKITCHENLOVER,2024-03-12 15:05:53+00:00,3452,186,10,2024-08-24 07:46:31.311707+00:00,0,1,28
COME TO WORK WITH NE | SHOOT DAY | DIARYOFAKITCHENLOVER,2024-02-29 17:54:04+00:00,2220,107,5,2024-08-24 07:46:31.894709+00:00,0,1,30
STOP USING STAINLESS STEEL UTENSILS! #cookingtips #kitchentips #diaryofakitchenlover,2024-02-28 04:30:33+00:00,2145,105,11,2024-08-24 07:46:32.469418+00:00,0,2,23
THE BEST COOKWARES TO HAVE IN YOUR KITCHEN | COOKWARES,2024-02-21 03:40:11+00:00,4051,207,13,2024-08-24 07:46:32.957137+00:00,0,8,31
MAMA DEOLA’S CHAOTIC VISIT TO MY STUDIO,2024-02-14 08:45:40+00:00,8502,424,42,2024-08-24 07:46:33.678639+00:00,0,3,33
I TASKED ADUNNI ADE TO MAKE HER FAVORITE FOOD | SPAGHETTI BOLOGNESE,2024-02-12 16:32:48+00:00,6673,269,11,2024-08-24 07:46:34.199009+00:00,0,1,31
THE EMOTIONAL MOMENT WHEN MY PARENTS MET MY BABY FOR THE FIRST TIME,2024-01-31 13:44:47+00:00,123128,4947,697,2024-08-24 07:46:34.709811+00:00,0,6,50
SWEET AND IRISH MASHED POTATOES AND CHICKEN GRAVY | MASHED POTATOES | DIARYOFAKITCHENLOVER,2023-12-21 16:24:42+00:00,4774,204,8,2024-08-24 07:46:35.339737+00:00,0,1,52
LIVING ABROAD AND FOOD BLOGGING | HOSPITAL VISIT,2023-12-17 10:34:11+00:00,10547,431,19,2024-08-24 07:46:35.852068+00:00,0,14,28
SEE SOME OF THE THINGS I SHOPPED FOR | VLOGMAS 2023 #Homegoods #vlogmas2023 #xmas #Asmr,2023-12-10 07:45:07+00:00,9072,398,15,2024-08-24 07:46:36.375377+00:00,0,9,12
FAMILY DAY OUT | CHRISTMAS IS HERE!!!!,2023-12-03 11:40:15+00:00,15856,901,41,2024-08-24 07:46:36.904122+00:00,0,12,53
TESTIMONIES ROLLING IN ON FRIENDSGIVING 2023 #Thanksgiving #Friendsgiving,2023-11-26 06:59:58+00:00,33325,1776,118,2024-08-24 07:46:37.461068+00:00,0,35,54
SHOPPING FOR MY NEW BABY GIRL CHILD | SEE HER AND SOME OF HER BEAUTIFUL OUTFITS,2023-11-15 17:36:23+00:00,112923,6761,648,2024-08-24 07:46:37.967526+00:00,0,50,12
PREGNANCY VLOG | MY VIDEO SHOOT BTS | 8 MONTHS PREGNANT,2023-11-15 07:10:44+00:00,19535,1212,33,2024-08-24 07:46:38.452413+00:00,0,1,32
WHAT’S IN MY HOSPITAL BAG? PACK FOR DELIVERY WITH ME,2023-11-13 08:56:36+00:00,14633,830,32,2024-08-24 07:46:38.946872+00:00,0,1,21
MY RAINBOW BABY SHOWER,2023-11-12 14:50:48+00:00,47525,4087,258,2024-08-24 07:46:39.446628+00:00,0,3,14
I AM PREGNANT! HOW MY FAMILY AND FRIENDS REACTED TO MY RAINBOW BABY ANNOUNCEMENT.,2023-11-11 06:46:10+00:00,689252,25056,3816,2024-08-24 07:46:40.004396+00:00,0,17,6
I AM A MUM! THE GIFT OF MOTHERHOOD HAS BEEN PASSED TO ME 🙏,2023-11-10 11:42:47+00:00,61193,4263,550,2024-08-24 07:46:40.562390+00:00,0,1,30
HOW TO SAVE MONEY IN THIS FUNNY ECONOMY,2023-11-03 09:13:55+00:00,4293,215,6,2024-08-24 07:46:41.185458+00:00,0,1,54
I TASKED CHIOMA AKPOTHA TO MAKE HER FAVORITE GOOD IN MY KITCHEN 😀,2023-10-17 09:33:51+00:00,6960,308,16,2024-08-24 07:46:41.761911+00:00,0,2,2
This Roasted Spice mixture is a game changer in your food!,2023-09-22 15:11:47+00:00,4351,188,4,2024-08-24 07:46:42.253563+00:00,0,1,1
YOU HAVE TO WATCH THIS BEFORE YOU BUY A GLASS POT!!!,2023-09-12 08:42:47+00:00,10890,282,19,2024-08-24 07:46:42.760585+00:00,0,1,31
ALL YOU NEED TO KNOW ABOUT CONTENT CREATION | MY COURSE ON CONTENT CREATION IS HERE!,2023-09-08 08:03:27+00:00,2089,106,7,2024-08-24 07:46:43.270164+00:00,0,1,59
REEKADO BANKS AND I COOKED SMOKEY NIGERIAN JOLLOF RICE WITH A SPECIAL TWIST! | #JOLLOFLOVE,2023-09-06 10:29:36+00:00,50393,889,68,2024-08-24 07:46:43.819681+00:00,0,24,25
ALMOND MILK! LACTOSE FREE! | HOW TO MAKE ALMOND MILK AT HOME | DIARYOFAKITCHENLOVER,2023-09-04 06:16:52+00:00,5776,146,12,2024-08-24 07:46:44.343582+00:00,0,3,10
HOW TO MAKE THE EASIEST ABACHA AKA AFRICAN SALAD | HOME MADE ABACHA #Abacha,2023-08-24 09:29:29+00:00,4600,160,19,2024-08-24 07:46:44.870352+00:00,0,1,31
Ofe Akwu Recipe #shortsafrica #recipe #soups,2023-08-22 09:16:37+00:00,3429,147,7,2024-08-24 07:46:45.366171+00:00,0,1,6
ONE POT TURKEY RICE AND FRIED PLANTAIN | DIARYOFAKITCHENLOVER,2023-08-20 10:18:57+00:00,2157,79,7,2024-08-24 07:46:45.880539+00:00,0,1,30
FISH IN BLACK PEPPER SAUCE AND STIR FRIED RICE | DIARYOFAKITCHENLOVER,2023-08-19 08:25:33+00:00,5270,166,26,2024-08-24 07:46:46.449732+00:00,0,1,30
POUNDED YAM AND EGUSI SOUP | DIARYOFAKITCHENLOVER,2023-08-15 10:37:29+00:00,6476,143,6,2024-08-24 07:46:47.013503+00:00,0,1,26
HOW TO DISSECT A WHOLE CHICKEN  LIKE A PRO | DIARYOFAKITCHENLOVER,2023-08-13 06:16:45+00:00,5392,160,31,2024-08-24 07:46:47.503122+00:00,0,9,32
HOW TO MAKE STEAMED VEGETABLES USING THE BLANCHING METHOD | DIARYOFAKITCHENLOVER,2023-08-05 09:13:10+00:00,307547,4176,392,2024-08-24 07:46:48.058143+00:00,0,8,38
DO YOUR COOKWARES GO BAD QUICKLY? TRY THESE | COOKWARE CARE TIPS | DIARYOFAKITCHENLOVER,2023-08-02 07:15:05+00:00,5477,277,35,2024-08-24 07:46:48.686671+00:00,0,7,2
WORLD FRIENDSHIP DAY WITH WILD AFRICA CREAM,2023-07-29 07:19:56+00:00,1664,46,4,2024-08-24 07:46:49.217063+00:00,0,1,28
HOW TO MAKE ZOBO DRINK FOR 20 PEOPLE! HOME MADE ZOBO | DIARYOFAKITCHENLOVER,2023-07-27 07:31:58+00:00,44013,997,83,2024-08-24 07:46:49.720539+00:00,0,8,56
CHIOMA AKPOTHA COOKED IN MY KITCHEN! BTS WITH CHIOMA,2023-07-24 09:33:00+00:00,2847,177,10,2024-08-24 07:46:50.224192+00:00,0,15,28
NO MARINADE GRILLED TURKEY FOR BEGINNERS | GRILLED TURKEY RECIPE | DIARYOFAKITCHENLOVER,2023-07-22 08:00:25+00:00,28364,607,44,2024-08-24 07:46:50.732243+00:00,0,6,32
